_id,상품명,정상가,할인가,별점
658e86ed864d408d43efef34,[1+1 이벤트] All New 불스원샷 시그니처 SIGNATURE 500ml,"73,800원","36,900원",4.9
658e8712864d408d43efef99,불스파워 엔진코팅제 시그니처 300ml,"45,900원","38,900원",4.9
